0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0.0,359.29998779296875,359.29998779296875,371.6499938964844,353.79998779296875,376.20001220703125,376.20001220703125,363.45001220703125,372.5,372.5,365.45001220703125,372.5,370.5,370.5,383.29998779296875,382.0,382.0,356.75,345.5,345.5,348.1000061035156,335.70001220703125,339.3500061035156,339.3500061035156,348.1000061035156,339.3500061035156,362.5,362.5,365.6000061035156,355.45001220703125,355.45001220703125,362.04998779296875,355.45001220703125,372.25,372.25,375.5,359.29998779296875,359.29998779296875,364.20001220703125,359.29998779296875,343.6000061035156,343.6000061035156,329.1499938964844,322.0,322.0,336.1499938964844,322.0,323.1499938964844,323.1499938964844,307.20001220703125,310.25,310.25,307.20001220703125,318.6000061035156,324.25,318.6000061035156,324.25,320.1499938964844,320.1499938964844,318.0,320.1499938964844,334.04998779296875,334.04998779296875,333.8500061035156,329.3999938964844,329.3999938964844,330.3500061035156,329.3999938964844,333.5,333.5,332.0,330.04998779296875,330.04998779296875,332.6499938964844,330.04998779296875,333.29998779296875,333.29998779296875,332.54998779296875,341.25,341.25,337.5,341.25,339.54998779296875,339.54998779296875,342.5,326.1000061035156,326.1000061035156,338.45001220703125,326.1000061035156,330.70001220703125,330.70001220703125,352.3999938964844,354.5,354.5,352.0,354.5,346.0,346.0,343.3500061035156,338.04998779296875,338.04998779296875,337.04998779296875,338.04998779296875,335.6499938964844,335.6499938964844,334.0,336.0,336.0,335.0,336.0,349.29998779296875,349.29998779296875,342.3500061035156,337.6000061035156,337.6000061035156,340.45001220703125,337.6000061035156,290.29998779296875,290.29998779296875,329.0,324.0,324.0,324.0,324.0,323.75,323.75,317.1000061035156,315.20001220703125,315.20001220703125,316.3999938964844,315.20001220703125,310.1000061035156,305.20001220703125,300.0,305.20001220703125,305.20001220703125,305.20001220703125,300.0,296.3999938964844,296.3999938964844,295.0,320.45001220703125,320.45001220703125,314.29998779296875,320.45001220703125,321.1499938964844,321.1499938964844,337.04998779296875,361.75,361.75,348.20001220703125,361.75,324.0,324.0,312.20001220703125,292.70001220703125,292.70001220703125,292.70001220703125,297.8999938964844,292.6499938964844,292.6499938964844
0.0,373.3500061035156,373.3500061035156,375.79998779296875,357.70001220703125,378.20001220703125,378.20001220703125,378.25,381.3500061035156,381.3500061035156,371.25,381.3500061035156,373.3999938964844,373.3999938964844,395.95001220703125,387.29998779296875,387.29998779296875,380.29998779296875,362.6000061035156,362.6000061035156,352.20001220703125,338.04998779296875,350.1000061035156,350.1000061035156,352.20001220703125,350.1000061035156,364.0,364.0,368.95001220703125,371.95001220703125,371.95001220703125,367.1000061035156,371.95001220703125,378.04998779296875,378.04998779296875,379.5,369.45001220703125,369.45001220703125,376.6499938964844,369.45001220703125,356.3500061035156,356.3500061035156,345.29998779296875,338.1499938964844,338.1499938964844,343.25,338.1499938964844,327.6499938964844,327.6499938964844,318.04998779296875,312.1000061035156,312.1000061035156,318.04998779296875,323.29998779296875,327.1499938964844,323.29998779296875,327.1499938964844,322.45001220703125,322.45001220703125,324.6000061035156,322.45001220703125,336.20001220703125,336.20001220703125,339.70001220703125,331.04998779296875,331.04998779296875,332.6499938964844,331.04998779296875,338.20001220703125,338.20001220703125,338.3999938964844,335.25,335.25,333.8500061035156,335.25,341.20001220703125,341.20001220703125,333.29998779296875,344.79998779296875,344.79998779296875,339.45001220703125,344.79998779296875,345.79998779296875,345.79998779296875,344.0,336.8500061035156,336.8500061035156,342.0,336.8500061035156,332.54998779296875,332.54998779296875,357.5,359.8999938964844,359.8999938964844,352.95001220703125,359.8999938964844,349.70001220703125,349.70001220703125,348.45001220703125,344.1499938964844,344.1499938964844,341.79998779296875,344.1499938964844,337.29998779296875,337.29998779296875,337.8999938964844,338.8500061035156,338.8500061035156,347.25,338.8500061035156,353.8999938964844,353.8999938964844,367.6000061035156,354.6000061035156,354.6000061035156,345.6000061035156,354.6000061035156,309.54998779296875,309.54998779296875,338.20001220703125,324.54998779296875,324.54998779296875,324.54998779296875,332.75,328.20001220703125,328.20001220703125,323.8500061035156,318.6000061035156,318.6000061035156,323.1499938964844,318.6000061035156,312.20001220703125,308.0,302.1499938964844,308.0,308.0,308.0,302.1499938964844,304.0,304.0,300.8500061035156,330.54998779296875,330.54998779296875,315.3500061035156,330.54998779296875,323.8500061035156,323.8500061035156,350.3999938964844,371.04998779296875,371.04998779296875,356.25,371.04998779296875,331.8999938964844,331.8999938964844,319.45001220703125,297.75,297.75,297.75,312.20001220703125,294.04998779296875,294.04998779296875
0.0,378.20001220703125,378.20001220703125,370.8999938964844,378.20001220703125,371.5,369.95001220703125,396.3999938964844,369.95001220703125,369.95001220703125,374.0,374.0,400.0,384.0,384.0,360.8999938964844,360.8999938964844,360.8999938964844,342.0,352.20001220703125,342.0,346.0,352.20001220703125,352.20001220703125,363.5,363.5,369.8500061035156,375.0,369.0,375.0,375.0,370.04998779296875,370.04998779296875,378.0,371.5,368.25,371.5,371.5,358.1499938964844,358.1499938964844,335.0,339.0,323.8999938964844,339.0,339.0,330.0,330.0,315.0,315.0,322.0,310.54998779296875,310.54998779296875,322.0,324.95001220703125,324.95001220703125,319.5,324.8999938964844,319.5,319.5,334.0,334.0,335.3999938964844,332.0,339.75,332.0,332.0,338.95001220703125,338.95001220703125,334.0,336.54998779296875,357.1000061035156,336.54998779296875,336.54998779296875,341.0,341.0,339.70001220703125,342.54998779296875,343.6499938964844,342.54998779296875,342.54998779296875,348.0,348.0,345.0,340.0,329.0,340.0,340.0,327.0,327.0,353.1499938964844,359.95001220703125,357.5,359.95001220703125,359.95001220703125,357.5,357.5,345.5,346.0,340.0,346.0,346.0,336.75,336.75,347.0,344.0,346.95001220703125,344.0,344.0,352.70001220703125,352.70001220703125,345.0,344.8999938964844,344.8999938964844,344.8999938964844,344.8999938964844,309.6000061035156,309.6000061035156,330.75,324.6499938964844,329.0,324.6499938964844,324.6499938964844,324.6499938964844,329.0,322.3500061035156,316.95001220703125,322.75,316.95001220703125,316.95001220703125,315.5,315.5,309.20001220703125,309.20001220703125,306.0,312.0,312.0,312.0,302.6000061035156,307.0,329.0,327.04998779296875,329.0,329.0,326.0,326.0,357.0,363.79998779296875,378.8999938964844,363.79998779296875,363.79998779296875,345.25,345.25,315.25,303.54998779296875,293.95001220703125,303.54998779296875,303.54998779296875,303.54998779296875,293.95001220703125,294.8999938964844,304.20001220703125
0.0,380.0,380.0,371.3999938964844,380.0,379.5,375.0,396.3999938964844,375.0,375.0,389.20001220703125,389.20001220703125,401.0,396.0,396.0,381.3999938964844,381.3999938964844,381.3999938964844,351.45001220703125,355.8999938964844,351.45001220703125,352.45001220703125,355.8999938964844,355.8999938964844,365.6000061035156,365.6000061035156,373.3500061035156,375.0,374.29998779296875,375.0,375.0,374.8500061035156,374.8500061035156,385.8500061035156,378.95001220703125,374.79998779296875,378.95001220703125,378.95001220703125,371.0,371.0,351.79998779296875,344.0,339.0,344.0,344.0,330.6499938964844,330.6499938964844,332.0,332.0,325.75,319.0,319.0,325.75,329.29998779296875,328.20001220703125,330.45001220703125,327.95001220703125,330.45001220703125,330.45001220703125,334.0,334.0,344.0,336.6499938964844,339.79998779296875,336.6499938964844,336.6499938964844,341.29998779296875,341.29998779296875,340.3500061035156,338.45001220703125,357.3999938964844,338.45001220703125,338.45001220703125,355.0,355.0,342.5,345.79998779296875,346.3999938964844,345.79998779296875,345.79998779296875,348.6000061035156,348.6000061035156,352.45001220703125,343.5,340.3999938964844,343.5,343.5,327.8999938964844,327.8999938964844,360.45001220703125,361.20001220703125,361.6499938964844,361.20001220703125,361.20001220703125,360.3999938964844,360.3999938964844,350.95001220703125,349.0,348.5,349.0,349.0,343.6000061035156,343.6000061035156,347.20001220703125,349.75,354.0,349.75,349.75,355.8999938964844,355.8999938964844,373.20001220703125,353.25,361.0,353.25,353.25,332.3999938964844,332.3999938964844,340.45001220703125,339.29998779296875,331.6499938964844,339.29998779296875,339.29998779296875,339.29998779296875,331.6499938964844,326.8999938964844,325.8999938964844,323.95001220703125,325.8999938964844,325.8999938964844,327.20001220703125,327.20001220703125,317.25,317.25,314.8500061035156,312.0,312.0,312.0,311.1499938964844,311.3500061035156,330.79998779296875,332.6000061035156,330.79998779296875,330.79998779296875,332.25,332.25,362.3500061035156,364.3999938964844,385.8999938964844,364.3999938964844,364.3999938964844,378.3500061035156,378.3500061035156,323.0,313.45001220703125,301.79998779296875,313.45001220703125,313.45001220703125,313.45001220703125,301.79998779296875,294.8999938964844,307.1000061035156
0.0,371.6499938964844,371.6499938964844,353.79998779296875,371.6499938964844,363.45001220703125,365.45001220703125,372.5,365.45001220703125,365.45001220703125,373.45001220703125,373.45001220703125,383.29998779296875,382.0,382.0,356.75,356.75,356.75,335.70001220703125,348.1000061035156,335.70001220703125,339.3500061035156,348.1000061035156,348.1000061035156,353.1000061035156,353.1000061035156,365.6000061035156,362.04998779296875,355.45001220703125,362.04998779296875,362.04998779296875,359.6000061035156,359.6000061035156,375.5,364.20001220703125,359.29998779296875,364.20001220703125,364.20001220703125,355.95001220703125,355.95001220703125,329.1499938964844,336.1499938964844,322.0,336.1499938964844,336.1499938964844,315.5,315.5,312.04998779296875,312.04998779296875,310.25,307.20001220703125,307.20001220703125,310.25,324.25,318.6000061035156,318.0,320.1499938964844,318.0,318.0,319.75,319.75,333.8500061035156,330.3500061035156,329.3999938964844,330.3500061035156,330.3500061035156,336.0,336.0,332.0,332.6499938964844,330.04998779296875,332.6499938964844,332.6499938964844,340.45001220703125,340.45001220703125,332.54998779296875,337.5,341.25,337.5,337.5,336.54998779296875,336.54998779296875,342.5,338.45001220703125,326.1000061035156,338.45001220703125,338.45001220703125,315.6499938964844,315.6499938964844,352.3999938964844,352.0,354.5,352.0,352.0,354.70001220703125,354.70001220703125,343.3500061035156,337.04998779296875,338.04998779296875,337.04998779296875,337.04998779296875,334.1000061035156,334.1000061035156,334.0,335.0,336.0,335.0,335.0,343.1000061035156,343.1000061035156,342.3500061035156,340.45001220703125,337.6000061035156,340.45001220703125,340.45001220703125,309.6000061035156,309.6000061035156,329.0,324.0,324.0,324.0,324.0,324.0,324.0,317.1000061035156,316.3999938964844,315.20001220703125,316.3999938964844,316.3999938964844,311.1000061035156,311.1000061035156,308.5,308.5,305.20001220703125,300.0,300.0,300.0,296.3999938964844,295.0,314.29998779296875,320.45001220703125,314.29998779296875,314.29998779296875,314.6000061035156,314.6000061035156,337.04998779296875,348.20001220703125,361.75,348.20001220703125,348.20001220703125,345.25,345.25,312.20001220703125,297.8999938964844,292.70001220703125,297.8999938964844,297.8999938964844,297.8999938964844,292.70001220703125,290.1000061035156,289.0
0.0,375.79998779296875,375.79998779296875,357.70001220703125,375.79998779296875,378.25,371.25,381.3500061035156,371.25,371.25,387.3999938964844,387.3999938964844,395.95001220703125,387.29998779296875,387.29998779296875,380.29998779296875,380.29998779296875,380.29998779296875,338.04998779296875,352.20001220703125,338.04998779296875,350.1000061035156,352.20001220703125,352.20001220703125,353.95001220703125,353.95001220703125,368.95001220703125,367.1000061035156,371.95001220703125,367.1000061035156,367.1000061035156,361.5,361.5,379.5,376.6499938964844,369.45001220703125,376.6499938964844,376.6499938964844,365.3500061035156,365.3500061035156,345.29998779296875,343.25,338.1499938964844,343.25,343.25,321.75,321.75,328.20001220703125,328.20001220703125,312.1000061035156,318.04998779296875,318.04998779296875,312.1000061035156,327.1499938964844,323.29998779296875,324.6000061035156,322.45001220703125,324.6000061035156,324.6000061035156,325.79998779296875,325.79998779296875,339.70001220703125,332.6499938964844,331.04998779296875,332.6499938964844,332.6499938964844,339.20001220703125,339.20001220703125,338.3999938964844,333.8500061035156,335.25,333.8500061035156,333.8500061035156,353.79998779296875,353.79998779296875,333.29998779296875,339.45001220703125,344.79998779296875,339.45001220703125,339.45001220703125,340.3999938964844,340.3999938964844,344.0,342.0,336.8500061035156,342.0,342.0,323.20001220703125,323.20001220703125,357.5,352.95001220703125,359.8999938964844,352.95001220703125,352.95001220703125,356.1499938964844,356.1499938964844,348.45001220703125,341.79998779296875,344.1499938964844,341.79998779296875,341.79998779296875,335.70001220703125,335.70001220703125,337.8999938964844,347.25,338.8500061035156,347.25,347.25,346.79998779296875,346.79998779296875,367.6000061035156,345.6000061035156,354.6000061035156,345.6000061035156,345.6000061035156,328.3500061035156,328.3500061035156,338.20001220703125,332.75,324.54998779296875,332.75,332.75,332.75,324.54998779296875,323.8500061035156,323.1499938964844,318.6000061035156,323.1499938964844,323.1499938964844,324.75,324.75,310.6499938964844,310.6499938964844,308.0,302.1499938964844,302.1499938964844,302.1499938964844,304.0,300.8500061035156,315.3500061035156,330.54998779296875,315.3500061035156,315.3500061035156,325.45001220703125,325.45001220703125,350.3999938964844,356.25,371.04998779296875,356.25,356.25,374.75,374.75,319.45001220703125,312.20001220703125,297.75,312.20001220703125,312.20001220703125,312.20001220703125,297.75,290.79998779296875,290.95001220703125
0.0,370.8999938964844,370.8999938964844,378.20001220703125,377.79998779296875,377.79998779296875,371.5,369.95001220703125,374.0,374.0,396.3999938964844,393.3999938964844,393.3999938964844,400.0,360.8999938964844,360.8999938964844,360.8999938964844,345.8999938964844,345.8999938964844,342.0,346.0,352.20001220703125,363.5,363.5,346.0,368.0,368.0,369.8500061035156,375.0,370.04998779296875,370.04998779296875,369.0,378.0,378.0,378.0,371.5,358.1499938964844,358.1499938964844,368.25,345.0,345.0,335.0,339.0,330.0,330.0,323.8999938964844,330.8999938964844,330.8999938964844,310.54998779296875,310.54998779296875,322.0,322.0,324.95001220703125,324.95001220703125,319.5,324.95001220703125,319.5,334.0,334.0,324.8999938964844,340.0,340.0,335.3999938964844,332.0,338.95001220703125,338.95001220703125,339.75,339.8999938964844,339.8999938964844,334.0,336.54998779296875,341.0,341.0,357.1000061035156,333.29998779296875,333.29998779296875,339.70001220703125,342.54998779296875,348.0,348.0,343.6499938964844,346.1499938964844,346.1499938964844,345.0,340.0,327.0,327.0,329.0,345.6499938964844,345.6499938964844,353.1499938964844,359.95001220703125,357.5,357.5,357.5,347.0,347.0,345.5,346.0,336.75,336.75,340.0,342.70001220703125,342.70001220703125,347.0,344.0,352.70001220703125,352.70001220703125,346.95001220703125,359.75,359.75,345.0,344.8999938964844,309.6000061035156,309.6000061035156,344.8999938964844,343.04998779296875,343.04998779296875,330.75,324.6499938964844,329.0,329.0,329.0,325.8999938964844,325.8999938964844,322.3500061035156,316.95001220703125,315.5,315.5,322.75,312.20001220703125,306.0,312.0,312.0,302.6000061035156,302.6000061035156,302.6000061035156,307.0,302.6000061035156,307.0,329.0,326.0,326.0,327.04998779296875,346.0,346.0,357.0,363.79998779296875,345.25,345.25,378.8999938964844,324.0,324.0,315.25,303.54998779296875,293.95001220703125,293.95001220703125,293.95001220703125,294.8999938964844,294.8999938964844,294.8999938964844
0.0,371.3999938964844,371.3999938964844,380.0,385.0,385.0,379.5,375.0,389.20001220703125,389.20001220703125,396.3999938964844,398.75,398.75,401.0,381.3999938964844,381.3999938964844,381.3999938964844,365.54998779296875,365.54998779296875,351.45001220703125,352.45001220703125,355.8999938964844,365.6000061035156,365.6000061035156,352.45001220703125,371.6000061035156,371.6000061035156,373.3500061035156,375.0,374.8500061035156,374.8500061035156,374.29998779296875,384.45001220703125,384.45001220703125,385.8500061035156,378.95001220703125,371.0,371.0,374.79998779296875,362.75,362.75,351.79998779296875,344.0,330.6499938964844,330.6499938964844,339.0,335.8999938964844,335.8999938964844,319.0,319.0,325.75,325.75,328.20001220703125,328.20001220703125,330.45001220703125,329.29998779296875,330.45001220703125,334.0,334.0,327.95001220703125,343.20001220703125,343.20001220703125,344.0,336.6499938964844,341.29998779296875,341.29998779296875,339.79998779296875,341.3500061035156,341.3500061035156,340.3500061035156,338.45001220703125,355.0,355.0,357.3999938964844,344.45001220703125,344.45001220703125,342.5,345.79998779296875,348.6000061035156,348.6000061035156,346.3999938964844,350.3500061035156,350.3500061035156,352.45001220703125,343.5,327.8999938964844,327.8999938964844,340.3999938964844,347.6499938964844,347.6499938964844,360.45001220703125,361.20001220703125,360.3999938964844,360.3999938964844,361.6499938964844,352.5,352.5,350.95001220703125,349.0,343.6000061035156,343.6000061035156,348.5,347.45001220703125,347.45001220703125,347.20001220703125,349.75,355.8999938964844,355.8999938964844,354.0,366.79998779296875,366.79998779296875,373.20001220703125,353.25,332.3999938964844,332.3999938964844,361.0,343.04998779296875,343.04998779296875,340.45001220703125,339.29998779296875,331.6499938964844,331.6499938964844,331.6499938964844,331.6499938964844,331.6499938964844,326.8999938964844,325.8999938964844,327.20001220703125,327.20001220703125,323.95001220703125,314.25,314.8500061035156,312.0,312.0,311.1499938964844,311.1499938964844,311.1499938964844,311.3500061035156,311.1499938964844,311.3500061035156,330.79998779296875,332.25,332.25,332.6000061035156,346.5,346.5,362.3500061035156,364.3999938964844,378.3500061035156,378.3500061035156,385.8999938964844,342.45001220703125,342.45001220703125,323.0,313.45001220703125,301.79998779296875,301.79998779296875,301.79998779296875,301.5,301.5,294.8999938964844
0.0,353.79998779296875,353.79998779296875,371.6499938964844,376.20001220703125,376.20001220703125,363.45001220703125,365.45001220703125,373.45001220703125,373.45001220703125,372.5,370.5,370.5,383.29998779296875,356.75,356.75,356.75,345.5,345.5,335.70001220703125,339.3500061035156,348.1000061035156,353.1000061035156,353.1000061035156,339.3500061035156,362.5,362.5,365.6000061035156,362.04998779296875,359.6000061035156,359.6000061035156,355.45001220703125,372.25,372.25,375.5,364.20001220703125,355.95001220703125,355.95001220703125,359.29998779296875,343.6000061035156,343.6000061035156,329.1499938964844,336.1499938964844,315.5,315.5,322.0,323.1499938964844,323.1499938964844,307.20001220703125,307.20001220703125,310.25,310.25,318.6000061035156,318.6000061035156,318.0,324.25,318.0,319.75,319.75,320.1499938964844,334.04998779296875,334.04998779296875,333.8500061035156,330.3500061035156,336.0,336.0,329.3999938964844,333.5,333.5,332.0,332.6499938964844,340.45001220703125,340.45001220703125,330.04998779296875,333.29998779296875,333.29998779296875,332.54998779296875,337.5,336.54998779296875,336.54998779296875,341.25,339.54998779296875,339.54998779296875,342.5,338.45001220703125,315.6499938964844,315.6499938964844,326.1000061035156,330.70001220703125,330.70001220703125,352.3999938964844,352.0,354.70001220703125,354.70001220703125,354.5,346.0,346.0,343.3500061035156,337.04998779296875,334.1000061035156,334.1000061035156,338.04998779296875,335.6499938964844,335.6499938964844,334.0,335.0,343.1000061035156,343.1000061035156,336.0,349.29998779296875,349.29998779296875,342.3500061035156,340.45001220703125,309.6000061035156,309.6000061035156,337.6000061035156,290.29998779296875,290.29998779296875,329.0,324.0,324.0,324.0,324.0,323.75,323.75,317.1000061035156,316.3999938964844,311.1000061035156,311.1000061035156,315.20001220703125,310.1000061035156,305.20001220703125,300.0,300.0,296.3999938964844,296.3999938964844,296.3999938964844,295.0,296.3999938964844,295.0,314.29998779296875,314.6000061035156,314.6000061035156,320.45001220703125,321.1499938964844,321.1499938964844,337.04998779296875,348.20001220703125,345.25,345.25,361.75,324.0,324.0,312.20001220703125,297.8999938964844,292.70001220703125,292.70001220703125,292.70001220703125,292.6499938964844,292.6499938964844,290.1000061035156
0.0,357.70001220703125,357.70001220703125,375.79998779296875,378.20001220703125,378.20001220703125,378.25,371.25,387.3999938964844,387.3999938964844,381.3500061035156,373.3999938964844,373.3999938964844,395.95001220703125,380.29998779296875,380.29998779296875,380.29998779296875,362.6000061035156,362.6000061035156,338.04998779296875,350.1000061035156,352.20001220703125,353.95001220703125,353.95001220703125,350.1000061035156,364.0,364.0,368.95001220703125,367.1000061035156,361.5,361.5,371.95001220703125,378.04998779296875,378.04998779296875,379.5,376.6499938964844,365.3500061035156,365.3500061035156,369.45001220703125,356.3500061035156,356.3500061035156,345.29998779296875,343.25,321.75,321.75,338.1499938964844,327.6499938964844,327.6499938964844,318.04998779296875,318.04998779296875,312.1000061035156,312.1000061035156,323.29998779296875,323.29998779296875,324.6000061035156,327.1499938964844,324.6000061035156,325.79998779296875,325.79998779296875,322.45001220703125,336.20001220703125,336.20001220703125,339.70001220703125,332.6499938964844,339.20001220703125,339.20001220703125,331.04998779296875,338.20001220703125,338.20001220703125,338.3999938964844,333.8500061035156,353.79998779296875,353.79998779296875,335.25,341.20001220703125,341.20001220703125,333.29998779296875,339.45001220703125,340.3999938964844,340.3999938964844,344.79998779296875,345.79998779296875,345.79998779296875,344.0,342.0,323.20001220703125,323.20001220703125,336.8500061035156,332.54998779296875,332.54998779296875,357.5,352.95001220703125,356.1499938964844,356.1499938964844,359.8999938964844,349.70001220703125,349.70001220703125,348.45001220703125,341.79998779296875,335.70001220703125,335.70001220703125,344.1499938964844,337.29998779296875,337.29998779296875,337.8999938964844,347.25,346.79998779296875,346.79998779296875,338.8500061035156,353.8999938964844,353.8999938964844,367.6000061035156,345.6000061035156,328.3500061035156,328.3500061035156,354.6000061035156,309.54998779296875,309.54998779296875,338.20001220703125,332.75,324.54998779296875,324.54998779296875,324.54998779296875,328.20001220703125,328.20001220703125,323.8500061035156,323.1499938964844,324.75,324.75,318.6000061035156,312.20001220703125,308.0,302.1499938964844,302.1499938964844,304.0,304.0,304.0,300.8500061035156,304.0,300.8500061035156,315.3500061035156,325.45001220703125,325.45001220703125,330.54998779296875,323.8500061035156,323.8500061035156,350.3999938964844,356.25,374.75,374.75,371.04998779296875,331.8999938964844,331.8999938964844,319.45001220703125,312.20001220703125,297.75,297.75,297.75,294.04998779296875,294.04998779296875,290.79998779296875
0.0,378.20001220703125,378.20001220703125,377.79998779296875,371.5,369.95001220703125,396.3999938964844,374.0,396.3999938964844,396.3999938964844,374.0,400.0,384.0,384.0,360.8999938964844,345.8999938964844,345.8999938964844,342.0,352.20001220703125,346.0,352.20001220703125,363.5,346.0,346.0,363.5,369.8500061035156,375.0,369.0,370.04998779296875,369.0,369.0,370.04998779296875,378.0,371.5,368.25,358.1499938964844,368.25,368.25,358.1499938964844,335.0,339.0,323.8999938964844,330.0,323.8999938964844,323.8999938964844,330.0,315.0,315.0,322.0,322.0,324.95001220703125,324.95001220703125,324.95001220703125,319.5,324.95001220703125,324.8999938964844,334.0,324.8999938964844,324.8999938964844,334.0,335.3999938964844,332.0,339.75,338.95001220703125,339.75,339.75,338.95001220703125,334.0,336.54998779296875,357.1000061035156,341.0,357.1000061035156,357.1000061035156,341.0,339.70001220703125,342.54998779296875,343.6499938964844,348.0,343.6499938964844,343.6499938964844,348.0,345.0,340.0,329.0,327.0,329.0,329.0,327.0,353.1499938964844,359.95001220703125,357.5,357.5,357.5,357.5,357.5,345.5,346.0,340.0,336.75,340.0,340.0,336.75,347.0,344.0,346.95001220703125,352.70001220703125,346.95001220703125,346.95001220703125,352.70001220703125,345.0,344.8999938964844,344.8999938964844,309.6000061035156,344.8999938964844,344.8999938964844,309.6000061035156,330.75,324.6499938964844,329.0,329.0,325.8999938964844,325.8999938964844,325.8999938964844,322.3500061035156,316.95001220703125,322.75,315.5,322.75,322.75,315.5,309.20001220703125,309.20001220703125,306.0,302.6000061035156,307.0,307.0,307.0,302.6000061035156,329.0,327.04998779296875,326.0,327.04998779296875,327.04998779296875,326.0,357.0,363.79998779296875,378.8999938964844,345.25,378.8999938964844,378.8999938964844,345.25,315.25,303.54998779296875,293.95001220703125,293.95001220703125,294.8999938964844,294.8999938964844,294.8999938964844,294.8999938964844,304.20001220703125,299.70001220703125
0.0,380.0,380.0,385.0,379.5,375.0,396.3999938964844,389.20001220703125,396.3999938964844,396.3999938964844,389.20001220703125,401.0,396.0,396.0,381.3999938964844,365.54998779296875,365.54998779296875,351.45001220703125,355.8999938964844,352.45001220703125,355.8999938964844,365.6000061035156,352.45001220703125,352.45001220703125,365.6000061035156,373.3500061035156,375.0,374.29998779296875,374.8500061035156,374.29998779296875,374.29998779296875,374.8500061035156,385.8500061035156,378.95001220703125,374.79998779296875,371.0,374.79998779296875,374.79998779296875,371.0,351.79998779296875,344.0,339.0,330.6499938964844,339.0,339.0,330.6499938964844,332.0,332.0,325.75,325.75,328.20001220703125,328.20001220703125,329.29998779296875,330.45001220703125,329.29998779296875,327.95001220703125,334.0,327.95001220703125,327.95001220703125,334.0,344.0,336.6499938964844,339.79998779296875,341.29998779296875,339.79998779296875,339.79998779296875,341.29998779296875,340.3500061035156,338.45001220703125,357.3999938964844,355.0,357.3999938964844,357.3999938964844,355.0,342.5,345.79998779296875,346.3999938964844,348.6000061035156,346.3999938964844,346.3999938964844,348.6000061035156,352.45001220703125,343.5,340.3999938964844,327.8999938964844,340.3999938964844,340.3999938964844,327.8999938964844,360.45001220703125,361.20001220703125,361.6499938964844,360.3999938964844,361.6499938964844,361.6499938964844,360.3999938964844,350.95001220703125,349.0,348.5,343.6000061035156,348.5,348.5,343.6000061035156,347.20001220703125,349.75,354.0,355.8999938964844,354.0,354.0,355.8999938964844,373.20001220703125,353.25,361.0,332.3999938964844,361.0,361.0,332.3999938964844,340.45001220703125,339.29998779296875,331.6499938964844,331.6499938964844,331.6499938964844,331.6499938964844,331.6499938964844,326.8999938964844,325.8999938964844,323.95001220703125,327.20001220703125,323.95001220703125,323.95001220703125,327.20001220703125,317.25,317.25,314.8500061035156,311.1499938964844,311.3500061035156,311.3500061035156,311.3500061035156,311.1499938964844,330.79998779296875,332.6000061035156,332.25,332.6000061035156,332.6000061035156,332.25,362.3500061035156,364.3999938964844,385.8999938964844,378.3500061035156,385.8999938964844,385.8999938964844,378.3500061035156,323.0,313.45001220703125,301.79998779296875,301.79998779296875,301.5,301.5,301.5,294.8999938964844,307.1000061035156,308.0
